"company_id","company_name"
1908,"iterable"
659,"ActiveCampaign"
1022,"Instabug"
616,"Docebo"
998,"SimScale"
1028,"WhiteSource Software"
2002,"Algolia"
809,"Bizible"
1897,"Autopilot HQ"
14,"LogMeIn"
1053,"Serpstat"
866,"FloQast"
615,"Tenfold"
1,"Salesforce"
560,"BirdEye"
2031,"Vuture"
706,"Grow"
986,"Chorus.ai"
523,"SalesLoft"
955,"Highspot"
1051,"Numetric"
979,"CoSchedule"
2025,"VictorOps"
940,"Repsly"
1967,"OnSolve"
701,"Zapproved"
1904,"exponea"
1956,"Usabilla"
624,"Deputy"
462,"Vidyard"
522,"Podium"
400,"TrendKite"
743,"Formstack"
928,"Engagio"
2028,"Lucid Software"
2033,"Sift Science"
206,"Tradeshift"
1015,"FullStory"
690,"Pendo.io"
1009,"Front"
278,"Sprout Social"
1966,"Cogito"
275,"Zoom"
674,"SurveyGizmo"
409,"etouches"
319,"InVision"
936,"Choozle"
1818,"Klaviyo"
107,"Slack"
169,"Smartsheet"
592,"Talkwalker"
475,"Databricks"
695,"Periscope Data"
810,"LookBookHQ"
675,"Uberflip"
197,"Walkme"
1961,"ServiceTitan"
2029,"Graduway"
799,"EXASOL"
492,"Dynamic Signal"
978,"Askuity"
916,"Bizzabo"
1792,"Kahoot!"
1005,"Employee Navigator"
892,"Zarget"
1844,"CloudCraze"
897,"LeanData"
693,"GoSpotCheck"
361,"Talkdesk"
707,"Klipfolio"
478,"MapAnything"
102,"PowerSchool"
950,"Whatfix"
646,"Instapage"
1934,"Lob"
67,"Okta"
784,"Teamwork.com"
1039,"Shareablee"
85,"Pluralsight"
556,"Segment"
480,"Workable"
851,"Aircall"
579,"Wave"
935,"Virtru"
1001,"Accelo"
380,"Mavenlink"
657,"Nuxeo Platform"
912,"Help Scout"
196,"Elastic"
755,"Wistia"
973,"Quantum Workplace"
256,"Docker"
311,"Calabrio ONE"
824,"BrandsEye"
1901,"maropost"
2024,"JumpCloud"
797,"Drift"
920,"StackAdapt"
2013,"Badger Maps"
95,"Twilio"
122,"Coursera"
2005,"ServiceNow"
344,"FullContact"
1021,"Exago"
722,"KeyedIn"
142,"Stripe"
141,"Taboola"
2007,"Bluecore"
381,"Yotpo"
242,"Duo Security"
588,"Certify"
645,"Insightly"
273,"BrightEdge"
1096,"Compas ATS"
177,"Castlight Health"
327,"Looker"
237,"MailChimp"
947,"Kimble PSA"
78,"Udacity"
473,"Seismic"
328,"DigitalOcean"
687,"Auction.com"
759,"CircleCI"
325,"PlanGrid"
482,"Justworks"
289,"Datadog"
1951,"CloudCherry"
980,"ownCloud"
412,"Digimind Social"
1061,"GenieBelt"
1065,"MediaBeacon"
612,"PandaDoc"
424,"Datorama"
83,"Mimecast"
379,"Mesosphere"
968,"Bombora"
1979,"CARTO"
2023,"TeamSnap"
528,"Salsify"
376,"Nexmo"
1860,"Punchh"
143,"BlackLine"
3,"Workday"
828,"OpenSesame"
949,"PicMonkey"
881,"ReviewTrackers"
1031,"BrightFunnel"
184,"The Trade Desk"
1859,"CallRail"
823,"Zapier"
771,"Evergage"
705,"Datafox"
15,"Atlassian"
37,"Proofpoint"
58,"New Relic"
1999,"Cloudability"
358,"AppsFlyer"
736,"Dataiku"
620,"PDFfiller"
2019,"WorkJam"
1957,"9Lenses"
1843,"Terminus"
1930,"Broadly"
1927,"leanplum"
671,"CAKE"
610,"Lever"
893,"Bloomerang"
24,"Shopify"
35,"Meltwater"
987,"Izenda"
827,"Keeper"
749,"Growbots"
899,"Logz.io"
915,"TapClicks"
121,"Yext"
307,"Chef"
648,"cb insights"
521,"Skuid"
1042,"Azalead"
513,"SpringCM"
402,"Pipedrive"
730,"AutoTURN"
1947,"Mention"
264,"SimilarWeb"
308,"iManage"
518,"TSheets"
1034,"inMotion"
162,"MapR"
198,"Autotask"
702,"3CX Phone System"
787,"FUEL CYCLE"
252,"CloudFlare"
1003,"Bananatag"
323,"Doximity"
853,"Lessonly"
855,"Pipeliner CRM"
2032,"PagerDuty"
29,"Zendesk"
632,"Culture Amp"
1925,"appboy"
1932,"Reputation.com"
40,"Medidata Solutions"
593,"FreeAgent"
565,"Conversica"
790,"Sales-i"
1978,"Metamarkets"
228,"Gusto"
572,"NationBuilder"
499,"Dialpad"
511,"Higher Logic"
997,"Nulab"
479,"SmartRecruiters"
769,"Contactually"
682,"Ceros"
684,"QASymphony"
647,"Redis Cloud"
836,"Quip"
345,"Mendix"
1907,"Listrak"
421,"Simpli.fi"
818,"Tango Card"
200,"Alteryx"
46,"AppDynamics"
985,"Arcadia Data"
996,"eduCBA"
112,"Coupa"
557,"Censhare"
583,"grammarly"
331,"Sumo Logic"
747,"Cloud Elements"
880,"Promapp"
188,"Malwarebytes"
30,"Xero"
347,"Coveo"
962,"Jostle"
2038,"Talkable"
801,"Aerospike"
889,"LiquidPlanner"
1847,"Veeam"
113,"Talend"
487,"4C"
967,"Affinio"
1889,"Slido"
190,"Intercom"
19,"DropBox"
498,"Thycotic Secret Server"
127,"Carbonite"
318,"Bamboo HR"
2020,"Yes LifeCycle Marketing"
124,"Anaplan"
718,"ClearCompany"
778,"SnapApp"
847,"EngineerBabu"
948,"Mindmatrix"
222,"Nintex"
340,"SmartBear"
2018,"WorkMarket"
1877,"Magento"
663,"Nearpod"
1047,"Hot Prospector"
1059,"Ebsta"
1069,"Swiftype Site Search"
1085,"Fond"
1988,"Lotame"
765,"FreeConferenceCall.com"
238,"Optimizely"
703,"Brightpearl"
922,"Yelp Reservations"
2017,"SiteCompli"
640,"PaySimple"
444,"Qt Creator"
105,"Appian"
519,"Inbenta"
629,"EverString"
151,"Squarespace"
437,"Imperva Incapsula"
365,"MixPanel"
1906,"CommuniGator"
510,"Spreadsheet Server"
727,"eventmobi"
738,"Plivo"
150,"OutSystems"
147,"Zuora"
1014,"Wwise "
1027,"Synthio"
302,"Vimeo"
398,"Clio"
118,"Workfront"
731,"Apto"
75,"Mulesoft"
50,"Qualtrics"
246,"SendGrid"
305,"Tealium"
618,"Unanet"
726,"CallFire"
993,"Assembla"
9,"Splunk"
668,"Pantheon"
225,"Avature"
171,"bswift"
530,"Jama Software"
532,"Ansarada "
876,"BiznessApps"
1952,"Interakt"
613,"Prosperworks"
619,"Miva"
62,"Envato"
34,"Wix"
456,"Nakisa"
999,"UserReplay"
74,"Encompass360"
775,"ChargeBee"
94,"8x8"
512,"Planisware"
852,"BizInsight"
2009,"Hearsay"
515,"BuilderTREND"
1974,"lucidworks"
106,"CarbonBlack"
594,"Jitterbit"
840,"ION Interactive"
21,"Square"
42,"Sprinklr"
211,"Pentaho"
768,"APS Payroll"
300,"Odoo"
689,"Libris"
406,"WordStream"
442,"Aha!"
635,"WoodWing Elvis DAM"
279,"Sisense"
23,"Cornerstone OnDemand"
677,"BrandYourself"
685,"Rainforest QA"
957,"Piktochart"
527,"Hubble"
534,"Iluminate Education"
490,"Radius Intelligence"
31,"Veeva Systems"
26,"RingCentral"
388,"Classy"
603,"TINYpulse Engage"
386,"dotmailer"
172,"MOO"
233,"HotSchedules"
472,"Sauce Labs"
918,"GlobalVision"
139,"LifeRay"
500,"Ipro Allegro"
1986,"Fastly"
68,"2U"
39,"Cloudera"
77,"Freshworks"
223,"namecheap"
132,"SurveyMonkey"
926,"dapulse"
209,"Intacct"
497,"Smartling"
641,"timetrade"
907,"Technolutions Slate"
917,"ClickFunnels"
428,"CloudSense"
643,"ProntoForms"
20,"Hubspot"
1995,"typeform"
898,"Logikcull"
908,"Traackr"
28,"Automattic"
709,"Motionsoft"
888,"Iconixx"
80,"Udemy"
10,"Criteo"
408,"ZoomInfo"
261,"DiscoverOrg"
491,"Unbounce"
434,"e-Builder Enterprise"
885,"Attendify"
230,"Gainsight"
1044,"ClickMeeting"
1049,"iWave PRO"
1054,"ThriveHive"
309,"AlienVault USM"
255,"Wrike"
1902,"clickdimensions"
676,"Agility Media Monitoring & Analytics"
1029,"Aeries Software"
5,"athenahealth"
364,"Clicktale"
496,"ServiceChannel"
541,"GitLab "
6,"Zoho"
296,"SiteGround"
604,"Resolver"
1043,"Path LMS"
2008,"Hubstaff"
52,"Marketo"
306,"RainKing"
359,"Capture One Pro"
664,"Widen Collective"
175,"Ping Identity"
654,"Animoto"
667,"MindTickle"
1017,"Nextpoint"
1024,"Ccleaner"
90,"SiteCore"
839,"Gryphon Networks"
285,"Khan Academy"
448,"Siteimprove"
848,"GoAnimate"
397,"BidPal"
164,"Brightcove"
346,"QuestBack"
17,"Box"
146,"Lead Forensics"
390,"Vendasta"
724,"Vindicia"
120,"Qualys"
314,"Guru"
149,"Eventbrite"
292,"Episerver CMS"
466,"Silverline"
1819,"Adestra"
708,"Mailjet"
813,"QCommission"
564,"AgileCRM"
43,"Broadsoft"
316,"Skyword"
368,"Practice Fusion"
56,"Avalara"
694,"PRTG"
966,"XWIKI"
788,"Highfive"
804,"Critical Mention"
163,"Optymyze"
1918,"PItchbook"
353,"Demandbase"
781,"Mylyn"
